TransactionId,Voucher,Amount (Original),Amount (Base USD),Amount (Base),Currency (Original),Account Code,HFM Account,Journal Type,Journal Desc,Customer or Supplier,Transaction Date,Transaction Entered By,Transaction Entered Date,Transaction Updated By,Transaction Updated Date,COY_ID,Entity Name,Vessel AUX,Reference,Updated in ODP,Transaction Open,Transaction Text
VGR406191380,259473V7,-213.18,-151.13,-213.18,SGD,1242102,BS25320,JV,Journal Voucher,,31-08-2025,Kiranraj Bhat,52:22.0,Mini Nair,19:58.6,,,,,03:48.5,Yes,Prepayment CBL Aircon Engineering Pte Ltd CBL2022-300939
VGR724213827,259488V7,113.06,84.2,113.06,SGD,5020400,IS311110,JV,Journal Voucher,,31-08-2025,Savita Gaikwad,28:05.3,Mini Nair,15:15.7,,,,,03:48.5,Yes,Prepayment Chubb Insurance Singapore Limited 2525708
VGR722512769,259474V7,-2.34,-1.83,-2.34,USD,1242102,BS25320,JV,Journal Voucher,,31-08-2025,Savita Gaikwad,13:45.3,Mini Nair,20:25.9,,,,,03:48.5,Yes,Prepayment IT Infrastructure VPSS-2024-2585
VGR723404433,259475V7,-474.73,-358.45,-474.73,SGD,1242102,BS25320,JV,Journal Voucher,,31-08-2025,Savita Gaikwad,41:05.5,Mini Nair,21:04.0,,,,,03:48.5,Yes,Prepayment AIG ASIA PACIFIC INSURANCE PTE LTD 1000188554/ 9000/ 000
VGR406191381,259473V7,213.18,151.13,213.18,SGD,5210100,IS332100,JV,Journal Voucher,,31-08-2025,Kiranraj Bhat,52:22.0,Mini Nair,19:58.7,,,,,03:48.5,Yes,Prepayment CBL Aircon Engineering Pte Ltd CBL2022-300939
VGR724213826,259488V7,-113.06,-84.2,-113.06,SGD,1242102,BS25320,JV,Journal Voucher,,31-08-2025,Savita Gaikwad,28:05.3,Mini Nair,15:15.7,,,,,03:48.5,Yes,Prepayment Chubb Insurance Singapore Limited 2525708
VGR722512770,259474V7,2.34,1.83,2.34,USD,5820200,IS353210,JV,Journal Voucher,,31-08-2025,Savita Gaikwad,13:45.3,Mini Nair,20:25.9,,,,,03:48.5,Yes,Prepayment IT Infrastructure VPSS-2024-2585
VGR723404434,259475V7,474.73,358.45,474.73,SGD,5400500,IS354600,JV,Journal Voucher,,31-08-2025,Savita Gaikwad,41:05.5,Mini Nair,21:04.0,,,,,03:48.5,Yes,Prepayment AIG ASIA PACIFIC INSURANCE PTE LTD 1000188554/ 9000/ 000
VGR726194022,259476V7,54.35,40.25,54.35,SGD,5349500,IS346200,JV,Journal Voucher,,31-08-2025,Savita Gaikwad,55:33.3,Mini Nair,21:13.5,,,,,03:48.5,Yes,Prepayment MITSUI SOKO SINGAPORE SSMRM25010101A
VGR729114548,259496V7,977.78,747.25,977.78,USD,5330100,IS344300,JV,Journal Voucher,,31-08-2025,Savita Gaikwad,02:56.6,Mini Nair,04:32.2,,,,,03:48.5,Yes,Prepayment IT Infrastructure VPSS-2025-2909
VGR730780992,259094V7,-2880,-2257.05,-2880,SGD,5345000,IS345500,RV,Journal Voucher (Reversing),,01-08-2025,Savita Gaikwad,03:54.8,Mini Nair,23:23.9,,,,,03:48.5,Yes,Accrual for the month of July 25
VGR730914016,259198V7,-1084.27,-840,-1084.27,USD,4000150,IS111800,SI,Sales Invoice,V.Ships Asia Group Pte Ltd.,01-08-2025,Savita Gaikwad,33:36.0,Savita Gaikwad,33:36.0,,,OTIANC,,03:48.5,Yes,POST FIXTURE
VGR730883878,259093V7,-2880,-2257.05,-2880,SGD,5345000,IS345500,RV,Journal Voucher (Reversing),,01-08-2025,Savita Gaikwad,34:08.8,Mini Nair,23:05.8,,,,,03:48.5,Yes,Cleaning cost accrual P07
VGR730914020,259200V7,-1084.27,-840,-1084.27,USD,4000150,IS111800,SI,Sales Invoice,V.Ships Asia Group Pte Ltd.,01-08-2025,Savita Gaikwad,33:36.0,Savita Gaikwad,33:36.0,,,OCNADR,,03:48.5,Yes,POST FIXTURE
