TransactionId,Voucher,Amount (Original),Amount (Base USD),Amount (Base),Currency (Original),Account Code,HFM Account,Journal Type,Journal Desc,Customer or Supplier,Transaction Date,Transaction Entered By,Transaction Entered Date,Transaction Updated By,Transaction Updated Date,COY_ID,Entity Name,Vessel AUX,Reference,Updated in ODP,Transaction Open,Transaction Text
V70000095240,BRTFWD,1527689.02,1211563.2,1527689.02,SGD,1100300,BS10140,OB,Opening Balance,,01-01-2025,,43:56.5,Mini Nair,43:56.5,,,,,44:10.7,Yes,Opening Balance
V70000095246,BRTFWD,-348386.86,-255755.71,-348386.86,SGD,1110100,BS10522,OB,Opening Balance,,01-01-2025,,43:56.5,Mini Nair,43:56.5,,,,,44:10.7,Yes,Opening Balance
V70000095254,BRTFWD,-1532836.01,-1173484.49,-1532836.01,SGD,1110600,BS10560,OB,Opening Balance,,01-01-2025,,43:56.5,Mini Nair,43:56.5,,,,,44:10.7,Yes,Opening Balance
V70000095547,BRTFWD,-0.42,-0.31,-0.42,USD,3121401,BS20102,OB,Opening Balance,,01-01-2025,,43:56.5,Mini Nair,43:56.5,,,,,44:10.7,Yes,Opening Balance
V70000095548,BRTFWD,-0.18,2017.15,-0.18,SGD,3122200,BS32200,OB,Opening Balance,,01-01-2025,,43:56.5,Mini Nair,43:56.5,,,,,44:10.7,Yes,Opening Balance
V70000095755,OBTFER,37000,27537.96,37000,SGD,1100300,BS10140,OJ,Opening Balance Transfer,,01-01-2025,,43:56.5,Mini Nair,43:56.5,,,,,59:18.9,Yes,TRANSFER FROM 1100301
V70000095762,OBTFER,-174193.56,-130567.29,-174193.56,SGD,1110100,BS10522,OJ,Opening Balance Transfer,,01-01-2025,,43:56.5,Mini Nair,43:56.5,,,,,44:10.7,Yes,TRANSFER FROM 1110102
V70000095766,OBTFER,-80365.55,-60255.34,-80365.55,SGD,1110600,BS10560,OJ,Opening Balance Transfer,,01-01-2025,,43:56.5,Mini Nair,43:56.5,,,,,44:10.7,Yes,TRANSFER FROM 1110602
VGR507588496,250001V4,-3498,-2575.47,-3498,SGD,3121122,BS36000,GR,Goods Received Not Invoiced,Business IT Pte Ltd.,02-01-2025,"Madduri (VL1), Bhaskar",,"Madduri (VL1), Bhaskar",57:02.9,,,,PO VSA-00123,03:10.5,Yes,VSA-00123/Business IT Pte Ltd.
VGR507679620,250002V4,-10260,-7554.12,-10260,SGD,3121122,BS36000,GR,Goods Received Not Invoiced,Acoustic Media Engineering Pte Ltd,28-01-2025,"Madduri (VL1), Bhaskar",,"Madduri (VL1), Bhaskar",35:42.2,,,,PO VSA-00122,24:03.4,Yes,VSA-00122/Acoustic Media Engineering Pte Ltd
VGR508230057,250003V4,-6540,-5125.39,-6540,SGD,3121122,BS36000,GR,Goods Received Not Invoiced,Business IT Pte Ltd.,08-07-2025,"Madduri (VL1), Bhaskar",,"Madduri (VL1), Bhaskar",44:14.6,,,,PO VSA-00133,03:48.5,Yes,VSA-00133/Business IT Pte Ltd.
VGR508230822,250004V4,-535,-419.27,-535,SGD,3121122,BS36000,GR,Goods Received Not Invoiced,Business IT Pte Ltd.,01-07-2025,"Madduri (VL1), Bhaskar",,"Madduri (VL1), Bhaskar",29:47.3,,,,PO VSA-00132,03:48.5,Yes,VSA-00132/Business IT Pte Ltd.
VGR508230823,250004V4,265,207.68,265,SGD,5330100,IS344300,GR,Goods Received Not Invoiced,Business IT Pte Ltd.,01-07-2025,"Madduri (VL1), Bhaskar",,"Madduri (VL1), Bhaskar",29:47.2,,,,PO VSA-00132,03:48.5,Yes,VSA-00132/3/Business IT Pte Ltd.
VGR508230824,250004V4,20,15.67,20,SGD,5330100,IS344300,GR,Goods Received Not Invoiced,Business IT Pte Ltd.,01-07-2025,"Madduri (VL1), Bhaskar",,"Madduri (VL1), Bhaskar",29:47.1,,,,PO VSA-00132,03:48.5,Yes,VSA-00132/5/Business IT Pte Ltd.
VGR508230825,250004V4,250,195.92,250,SGD,5330100,IS344300,GR,Goods Received Not Invoiced,Business IT Pte Ltd.,01-07-2025,"Madduri (VL1), Bhaskar",,"Madduri (VL1), Bhaskar",29:46.9,,,,PO VSA-00132,03:48.5,Yes,VSA-00132/2/Business IT Pte Ltd.
VGR508235037,250005V4,-2378.74,-1864.22,-2378.74,SGD,3121122,BS36000,GR,Goods Received Not Invoiced,THE MANAGEMENT CORPORATION STRATA TITLE PLAN NO 4218,01-07-2025,"Madduri (VL1), Bhaskar",,"Madduri (VL1), Bhaskar",17:54.4,,,,PO VSA-00134,03:48.5,Yes,VSA-00134/THE MANAGEMENT CORPORATION STRATA TITLE PLAN NO 4218
VGR508235086,250006V4,-1931.18,-1513.46,-1931.18,SGD,3121122,BS36000,GR,Goods Received Not Invoiced,THE MANAGEMENT CORPORATION STRATA TITLE PLAN NO 4218,02-07-2025,"Madduri (VL1), Bhaskar",,"Madduri (VL1), Bhaskar",21:33.9,,,,PO VSA-00135,03:48.5,Yes,VSA-00135/THE MANAGEMENT CORPORATION STRATA TITLE PLAN NO 4218
VGR508236760,250007V4,-2107.63,-1651.75,-2107.63,SGD,3121122,BS36000,GR,Goods Received Not Invoiced,THE MANAGEMENT CORPORATION STRATA TITLE PLAN NO 4218,01-07-2025,"Madduri (VL1), Bhaskar",,"Madduri (VL1), Bhaskar",43:34.3,,,,PO VSA-00136,03:48.5,Yes,VSA-00136/THE MANAGEMENT CORPORATION STRATA TITLE PLAN NO 4218
VGR508236762,250008V4,-2167.18,-1698.42,-2167.18,SGD,3121122,BS36000,GR,Goods Received Not Invoiced,THE MANAGEMENT CORPORATION STRATA TITLE PLAN NO 4218,01-07-2025,"Madduri (VL1), Bhaskar",,"Madduri (VL1), Bhaskar",46:13.6,,,,PO VSA-00137,03:48.5,Yes,VSA-00137/THE MANAGEMENT CORPORATION STRATA TITLE PLAN NO 4218
VGR508236764,250009V4,-2419.1,-1895.85,-2419.1,SGD,3121122,BS36000,GR,Goods Received Not Invoiced,THE MANAGEMENT CORPORATION STRATA TITLE PLAN NO 4218,01-07-2025,"Madduri (VL1), Bhaskar",,"Madduri (VL1), Bhaskar",58:02.4,,,,PO VSA-00138,03:48.5,Yes,VSA-00138/THE MANAGEMENT CORPORATION STRATA TITLE PLAN NO 4218
VGR508240523,250010V4,-700,-548.59,-700,SGD,3121122,BS36000,GR,Goods Received Not Invoiced,CBL Aircon Engineering Pte Ltd,15-07-2025,"Madduri (VL1), Bhaskar",,"Madduri (VL1), Bhaskar",03:05.7,,,,PO VSA-00139,03:48.5,Yes,VSA-00139/CBL Aircon Engineering Pte Ltd
VGR717492755,256306V7,909.78,675.06,909.78,USD,5330100,IS344300,JV,Journal Voucher,,31-01-2025,Kiranraj Bhat,07:38.2,Mini Nair,53:15.8,,,,,09:23.3,Yes,Prepayment IT Infrastructure VPSS-2024-2309
VGR717492757,256852V7,821.72,609.72,821.72,USD,5330100,IS344300,JV,Journal Voucher,,28-02-2025,Kiranraj Bhat,07:38.3,Mini Nair,05:38.0,,,,,05:23.4,Yes,Prepayment IT Infrastructure VPSS-2024-2309
VGR717492759,257140V7,29.35,21.78,29.35,USD,5330100,IS344300,JV,Journal Voucher,,31-03-2025,Kiranraj Bhat,07:38.3,Mini Nair,29:12.7,,,,,19:12.9,Yes,Prepayment IT Infrastructure VPSS-2024-2309
VGR722512615,256314V7,3151.73,2460.37,3151.73,JPY,5810100,IS352310,JV,Journal Voucher,,31-01-2025,Savita Gaikwad,11:22.6,Mini Nair,57:19.6,,,,,09:23.3,Yes,Prepayment HIROYOSHI NOSU 6-2024
VGR724437453,255986V7,-1140.89,-840,-1140.89,USD,4000150,IS111800,SI,Sales Invoice,V.Ships Asia Group Pte Ltd.,03-01-2025,Savita Gaikwad,38:52.9,Savita Gaikwad,38:52.9,,,OCNADR,,03:10.5,Yes,POST FIXTURE  - OCEAN ADORE 
